id,round,order,question,question_type,options,likert_levels,correct_answer,is_scored
1091,1,1,在每一轮正式选品中的平台余额点数，以下哪项说法是正确的？,SINGLE_CHOICE,"[""每轮有 150 点余额，每上架 1 个商品消耗 50 点，因此通常应上架 3 个商品"", ""每轮有 100 点余额，每上架 1 个商品消耗 50 点，因此最多上架 2 个商品"", ""每轮余额可以跨轮累计，因此本轮可以多上架几个商品"", ""商品上架不消耗余额，只在提交时扣费""]",,0,1
1092,1,2,如果某商品在某一轮被 4 名卖家同时选择，并且该商品表现为“爆品”（20 分），那么每位卖家得到多少分？,SINGLE_CHOICE,"[""每人 20 分"", ""每人 10 分"", ""每人 5 分"", ""每人 0 分""]",,2,1
1093,1,3,关于每轮选择的商品，以下哪项说法是正确的？,SINGLE_CHOICE,"[""只要上架过的商品都会自动计入本轮成绩"", ""只有在点击“提交本轮选品”时仍保留在店铺中的商品，才会计入当轮结果"", ""只要商品曾经进入“我的店铺”，就会计入当轮结果"", ""每轮系统会自动从已上架商品中选出 3 个进行计分""]",,1,1
1094,2,1,在每一轮正式选品中的平台余额点数，以下哪项说法是正确的？,SINGLE_CHOICE,"[""每轮有 150 点余额，每上架 1 个商品消耗 50 点，因此通常应上架 3 个商品"", ""每轮有 100 点余额，每上架 1 个商品消耗 50 点，因此最多上架 2 个商品"", ""每轮余额可以跨轮累计，因此本轮可以多上架几个商品"", ""商品上架不消耗余额，只在提交时扣费""]",,0,1
1095,2,2,如果某商品在某一轮被 4 名卖家同时选择，并且该商品表现为“爆品”（20 分），那么每位卖家得到多少分？,SINGLE_CHOICE,"[""每人 20 分"", ""每人 10 分"", ""每人 5 分"", ""每人 0 分""]",,2,1
1096,2,3,关于每轮选择的商品，以下哪项说法是正确的？,SINGLE_CHOICE,"[""只要上架过的商品都会自动计入本轮成绩"", ""只有在点击“提交本轮选品”时仍保留在店铺中的商品，才会计入当轮结果"", ""只要商品曾经进入“我的店铺”，就会计入当轮结果"", ""每轮系统会自动从已上架商品中选出 3 个进行计分""]",,1,1
1097,3,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1098,3,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1099,3,3,在本轮选品过程中，我学到了关于跨境电商选品流程的重要知识。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1100,3,4,在本轮选品过程中，我学到了与跨境电商选品逻辑相关的新知识。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
